pk,address-en,address-fr,city,province
ISED-1001,220 4th Ave. S.E.,"220, 4e av. S.E.",Calgary,AB
ISED-1002,4712 13 St. N.E.,"4712, 13 rue N.E.",Calgary,AB
ISED-1003,9015 46 St. N.W.,"9015, 46 rue N.O.",Edmonton,AB
ISED-1004,9305 50 St. N.W.,"9305, 50 rue N.O.",Edmonton,AB
ISED-1005,9700 Jasper Ave.,"9700, av. Jasper ",Edmonton,AB
ISED-1006,1726 Dolphin Ave.,"1726, av. Dolphin",Kelowna,BC
ISED-1007,277 Winnipeg St.,"277, rue Winnipeg",Penticton,BC
ISED-1008,280 Victoria St.,"280, rue Victoria",Prince George,BC
ISED-1009,13401 108 Ave.,"13401, 108 av.",Surrey,BC
ISED-1010,300 West Georgia St.,"300, rue West Georgia",Vancouver,BC
ISED-1011,3625 Lougheed Hwy.,3625 Autoroute Lougheed,Vancouver,BC
ISED-1012,1230 Government St.,"1230, rue Government",Victoria,BC
ISED-1013,320 Garbally Rd.,320 Garbally Rd.,Victoria,BC
ISED-1014,2711 Auburn Rd.,2711 Auburn Rd.,West Kelowna,BC
ISED-1015,1039 Princess Ave.,"1039, av. Princess",Brandon,MB
ISED-1016,1080 McDermot Ave.,"1080, av. McDermot",Winnipeg,MB
ISED-1017,400 St. Mary Ave.,"400, av. St Mary",Winnipeg,MB
ISED-1018,120 Harbourview Blvd.,"120, boul. Harbourview",Bathurst,NB
ISED-1019,1045 Main St.,"1045, rue Main",Moncton ,NB
ISED-1020,189 Prince William St.,"189, rue Prince William",Saint John,NB
ISED-1021,4180 Loch Lomond Rd.,4180 Loch Lomond Rd.,Saint John,NB
ISED-1022,1 Regent Square,1 Regent Square,Corner Brook,NL
ISED-1023,26 Kyle Ave.,"26, av. Kyle",Mount Pearl,NL
ISED-1024,10 Barters Hill,10 Barters Hill,St. John's,NL
ISED-1025,50 Brown Ave.,"50, av. Brown",Dartmouth,NS
ISED-1026,1505 Barrington St.,"1505, rue Barrington",Halifax,NS
ISED-1027,196 George St.,"196, rue George",Sydney,NS
ISED-1028,5101 50 Ave.,"5101, 50 av.",Yellow Knife,NT
ISED-1029,274 MacKenzie Ave.,"274, av. MacKenzie",Ajax,ON
ISED-1030,126 Wellington St. E. #124,"126, rue Wellington E. #124",Aurora,ON
ISED-1031,328 Sidney St.,"328, rue Sidney",Belleville,ON
ISED-1032,4475 North Service Rd.,4475 North Service Rd.,Burlington,ON
ISED-1033,251 Arvin Ave.,"251, av. Arvin",Hamilton,ON
ISED-1034,55 Bay St.,"55, rue Bay",Hamilton,ON
ISED-1035,100 Park St.,"100, rue Park",Kenora,ON
ISED-1036,30 Duke St. W.,"30, rue Duke O.",Kitchener,ON
ISED-1037,451 Talbot St.,"451, rue Talbot",London,ON
ISED-1038,78-84 Meg Dr.,78-84 Meg Dr.,London,ON
ISED-1039,232 Yorktech Dr.,232 Yorktech Dr.,Markham,ON
ISED-1040,175 Admiral Blvd.,"175, boul. Admiral",Mississauga,ON
